Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
113 23rd Av S,Medic Response,02/26/2019 05:59:58 PM,47.601601,-122.30228400000001,POINT (-122.302284 47.601601),F190020349
2833 26th Av W,Aid Response,02/26/2019 06:07:47 PM,47.644979,-122.390244,POINT (-122.390244 47.644979),F190020350
925 Seneca St,Auto Fire Alarm,02/26/2019 06:22:16 PM,47.609955,-122.328383,POINT (-122.328383 47.609955),F190020354
1ST AV / BELL ST,Natural Gas Odor,02/26/2019 06:25:21 PM,47.613375,-122.34651299999999,POINT (-122.346513 47.613375),F190020355
8517 Aurora Av N,"Medic Response, 7 per Rule",02/26/2019 06:40:01 PM,47.690681,-122.344523,POINT (-122.344523 47.690681),F190020356
12505 Greenwood Av N,Aid Response,02/26/2019 06:46:34 PM,47.719638,-122.355539,POINT (-122.355539 47.719638),F190020357
7125 Fauntleroy Way Sw,Aid Response,02/26/2019 06:50:55 PM,47.539419,-122.39081599999999,POINT (-122.390816 47.539419),F190020359
9500 Rainier Av S,Aid Response Yellow,02/26/2019 06:55:03 PM,47.520264000000005,-122.261582,POINT (-122.261582 47.520264),F190020360
206 Western Av W,Rescue Elevator,02/26/2019 07:01:52 PM,47.620036999999996,-122.35978600000001,POINT (-122.359786 47.620037),F190020361
8030 15th Av Nw,Aid Response,02/26/2019 07:06:44 PM,47.687058,-122.37679399999999,POINT (-122.376794 47.687058),F190020362
4656 1st Av Ne,Automatic Fire Alarm Resd,02/26/2019 07:11:28 PM,47.662937,-122.328251,POINT (-122.328251 47.662937),F190020363
S Grand St / 23rd Av S,Aid Response,02/26/2019 07:15:50 PM,47.586919,-122.30268899999999,POINT (-122.302689 47.586919),F190020364
9455 27th Av Sw,Aid Response,02/26/2019 07:17:06 PM,47.518178000000006,-122.367277,POINT (-122.367277 47.518178),F190020365
1200 S Dearborn St,Aid Response,02/26/2019 07:23:55 PM,47.59582,-122.31701100000001,POINT (-122.317011 47.59582),F190020367
12525 Aurora Av N,Aid Response,02/26/2019 07:24:44 PM,47.719793,-122.344939,POINT (-122.344939 47.719793),F190020368
11506 Stone Av N,Aid Response,02/26/2019 07:25:35 PM,47.712367,-122.342125,POINT (-122.342125 47.712367),F190020369
610 1st Av N,Medic Response,02/26/2019 07:26:47 PM,47.624659,-122.35540300000001,POINT (-122.355403 47.624659),F190020370
1158 Broadway,Aid Response,02/26/2019 07:31:56 PM,47.611585,-122.32076,POINT (-122.32076 47.611585),F190020371
900 University St,Aid Response,02/26/2019 07:41:11 PM,47.61055,-122.32931799999999,POINT (-122.329318 47.61055),F190020372
318 2nd Av Et S,Aid Response,02/26/2019 07:48:10 PM,47.600194,-122.330541,POINT (-122.330541 47.600194),F190020375
4910 Sw Hinds St,Automatic Fire Alarm Resd,02/26/2019 07:50:51 PM,47.573902000000004,-122.39484499999999,POINT (-122.394845 47.573902),F190020377
9009 Greenwood Av N,Aid Response,02/26/2019 07:53:56 PM,47.69429,-122.35533999999998,POINT (-122.35534 47.69429),F190020378
9200 2nd Av Sw,Trans to AMR,02/26/2019 07:56:47 PM,47.521244,-122.336301,POINT (-122.336301 47.521244),F190020379
1000 4th Av,"Medic Response, 7 per Rule",02/26/2019 08:05:12 PM,47.606088,-122.33290900000001,POINT (-122.332909 47.606088),F190020380
Highland Park Way Sw / 2nd Av Sw,MVI - Motor Vehicle Incident,02/26/2019 08:04:51 PM,47.539813,-122.33711100000001,POINT (-122.337111 47.539813),F190020381
S Othello St / Rainier Av S,Aid Response,02/26/2019 08:07:38 PM,47.536958,-122.270274,POINT (-122.270274 47.536958),F190020382
7301 Rainier Av S,Aid Response,02/26/2019 08:08:01 PM,47.536947999999995,-122.27027199999999,POINT (-122.270272 47.536948),F190020383
1619 9th Av,Trans to AMR,02/26/2019 08:04:05 PM,47.61371,-122.332209,POINT (-122.332209 47.61371),F190020384
2614 4th Av,Medic Response,02/26/2019 08:23:20 PM,47.617315999999995,-122.347229,POINT (-122.347229 47.617316),F190020385
1701 12th Av S,1RED 1 Unit,02/26/2019 08:34:53 PM,47.588421999999994,-122.317276,POINT (-122.317276 47.588422),F190020386
210 3rd Av S,Aid Response,02/26/2019 08:35:31 PM,47.600791,-122.330275,POINT (-122.330275 47.600791),F190020387
1809 7th Av,Auto Fire Alarm,02/26/2019 08:38:35 PM,47.613652,-122.33525300000001,POINT (-122.335253 47.613652),F190020388
4860 Rainier Av S,Trans to AMR,02/26/2019 08:38:36 PM,47.558488,-122.28535900000001,POINT (-122.285359 47.558488),F190020389
1701 Broadway,Aid Response,02/26/2019 08:45:44 PM,47.616403000000005,-122.32081699999999,POINT (-122.320817 47.616403),F190020390
4046 Ne 86th St,Aid Response,02/26/2019 08:46:27 PM,47.690907,-122.28485400000001,POINT (-122.284854 47.690907),F190020392
119 1st Av S,Aid Response,02/26/2019 08:47:36 PM,47.601559,-122.33418,POINT (-122.33418 47.601559),F190020393
800 Nw 49th St,Investigate Out Of Service,02/26/2019 08:47:27 PM,47.664381,-122.36618899999999,POINT (-122.366189 47.664381),F190020394
7923 M L King Jr Way S,Aid Response,02/26/2019 08:48:04 PM,47.530795,-122.280778,POINT (-122.280778 47.530795),F190020395
7310 34th Av Sw,Medic Response,02/26/2019 08:53:18 PM,47.537296000000005,-122.37523799999998,POINT (-122.375238 47.537296),F190020396
707 N 64th St,Medic Response,02/26/2019 09:01:06 PM,47.675325,-122.349824,POINT (-122.349824 47.675325),F190020397
12035 Aurora Av N,Medic Response,02/26/2019 09:05:26 PM,47.716786,-122.344889,POINT (-122.344889 47.716786),F190020398
800 Nw 49th St,Unk Odor,02/26/2019 09:13:12 PM,47.664381,-122.36618899999999,POINT (-122.366189 47.664381),F190020399
3512 Ne 140th St,Medic Response,02/26/2019 09:13:27 PM,47.730103,-122.29083700000001,POINT (-122.290837 47.730103),F190020400
7105 Holly Park Dr S,Auto Fire Alarm,02/26/2019 09:23:02 PM,47.538876,-122.287244,POINT (-122.287244 47.538876),F190020401
803 S LANE ST,Aid Response,02/26/2019 09:23:59 PM,47.59667,-122.32229,POINT (-122.32229 47.59667),F190020402
5900 37th Av S,Aid Response,02/26/2019 09:32:45 PM,47.549748,-122.286273,POINT (-122.286273 47.549748),F190020403
1701 18th Av S,Medic Response,02/26/2019 09:33:03 PM,47.588414,-122.309467,POINT (-122.309467 47.588414),F190020404
9230 2nd Av Sw,Medic Response,02/26/2019 09:53:33 PM,47.520679,-122.335803,POINT (-122.335803 47.520679),F190020407
517 3rd Av,Trans to AMR,02/26/2019 10:02:47 PM,47.602171999999996,-122.330863,POINT (-122.330863 47.602172),F190020408
10751 Durland Av Ne,Aid Response,02/26/2019 10:07:30 PM,47.707603999999996,-122.278208,POINT (-122.278208 47.707604),F190020409
97 S Main St,Medic Response,02/26/2019 10:09:33 PM,47.600044,-122.33421899999999,POINT (-122.334219 47.600044),F190020410
210 Summit Av E,Bark Fire,02/26/2019 10:15:41 PM,47.61976,-122.325295,POINT (-122.325295 47.61976),F190020411
5033 12th Av Ne,Aid Response,02/26/2019 10:18:33 PM,47.665164000000004,-122.31523600000001,POINT (-122.315236 47.665164),F190020412
3602 50th Av Sw,Aid Response,02/26/2019 10:18:25 PM,47.57209,-122.396078,POINT (-122.396078 47.57209),F190020413
5523 S Leo St,Aid Response,02/26/2019 10:18:57 PM,47.502553999999996,-122.26445,POINT (-122.26445 47.502554),F190020414
Nb I5 At Mercer,MVI Freeway,02/26/2019 10:20:33 PM,47.620184,-122.32821299999999,POINT (-122.328213 47.620184),F190020415
1809 7th Av,Auto Fire Alarm,02/26/2019 10:20:57 PM,47.613652,-122.33525300000001,POINT (-122.335253 47.613652),F190020416
3501 Rainier Av S,Aid Response,02/26/2019 10:25:12 PM,47.571853000000004,-122.29319299999999,POINT (-122.293193 47.571853),F190020418
RAINIER AV S / S MASSACHUSETTS ST,1RED 1 Unit,02/26/2019 10:26:28 PM,47.588411,-122.30582700000001,POINT (-122.305827 47.588411),F190020420
RAINIER AV S / S MASSACHUSETTS ST,1RED 1 Unit,02/26/2019 10:28:20 PM,47.588411,-122.30582700000001,POINT (-122.305827 47.588411),F190020421
11244 Greenwood Av N,Aid Response,02/26/2019 10:31:40 PM,47.710791,-122.355496,POINT (-122.355496 47.710791),F190020422
5033 12th Av Ne,Aid Response,02/26/2019 10:35:29 PM,47.665164000000004,-122.31523600000001,POINT (-122.315236 47.665164),F190020423
100 Crockett St,Medic Response,02/26/2019 10:41:32 PM,47.637415999999995,-122.355598,POINT (-122.355598 47.637416),F190020424
711 Cherry St,Trans to AMR,02/26/2019 11:05:42 PM,47.605391999999995,-122.327499,POINT (-122.327499 47.605392),F190020427
517 3rd Av,Aid Response,02/26/2019 11:06:35 PM,47.602171999999996,-122.330863,POINT (-122.330863 47.602172),F190020428
609 3rd Av,Aid Response,02/26/2019 11:11:35 PM,47.602827000000005,-122.33146200000002,POINT (-122.331462 47.602827),F190020429
420 Wall St,Trans to AMR,02/26/2019 11:21:08 PM,47.616827,-122.345996,POINT (-122.345996 47.616827),F190020431
2100 Ne Whitman Ln,Aid Response,02/26/2019 11:24:03 PM,47.660503000000006,-122.30550600000001,POINT (-122.305506 47.660503),F190020433
11244 Greenwood Av N,Aid Response,02/26/2019 11:37:22 PM,47.710791,-122.355496,POINT (-122.355496 47.710791),F190020434
154 N 144th St,Aid Response,02/26/2019 11:40:49 PM,47.733211,-122.35766399999999,POINT (-122.357664 47.733211),F190020435
2014 E Pine St,Aid Response,02/26/2019 11:43:57 PM,47.61528,-122.306,POINT (-122.306 47.61528),F190020436
7401 Rainier Av S,Aid Response,02/26/2019 11:51:39 PM,47.5359,-122.270028,POINT (-122.270028 47.5359),F190020438
2614 4th Av,Medic Response,02/27/2019 12:00:42 AM,47.617315999999995,-122.347229,POINT (-122.347229 47.617316),F190020439
3025 NE 130TH ST,1RED 1 Unit,02/27/2019 12:00:36 AM,47.7229,-122.29591,POINT (-122.29591 47.7229),F190020440
3507 Sw Alaska St,Trans to AMR,02/27/2019 12:05:32 AM,47.561066,-122.37629199999999,POINT (-122.376292 47.561066),F190020442
Yale Av / Denny Way,Aid Response,02/27/2019 12:07:39 AM,47.618508,-122.331395,POINT (-122.331395 47.618508),F190020443
914 E Jefferson St,Aid Response,02/27/2019 12:08:54 AM,47.606212,-122.320559,POINT (-122.320559 47.606212),F190020444
Yesler Way / 3rd Av,Trans to AMR,02/27/2019 12:11:13 AM,47.601715999999996,-122.330265,POINT (-122.330265 47.601716),F190020445
6940 62nd Av Ne,Trans to AMR,02/27/2019 12:13:19 AM,47.678821,-122.262227,POINT (-122.262227 47.678821),F190020446
111 Cedar St,Auto Fire Alarm,02/27/2019 12:15:04 AM,47.615877000000005,-122.35051999999999,POINT (-122.35052 47.615877),F190020447
607 3rd Av,Medic Response,02/27/2019 12:24:46 AM,47.602813,-122.33144899999999,POINT (-122.331449 47.602813),F190020448
4426 44th Av Sw,Medic Response,02/27/2019 12:42:55 AM,47.564275,-122.38812800000001,POINT (-122.388128 47.564275),F190020451
1812 Boren Av,Aid Response,02/27/2019 12:55:44 AM,47.616258,-122.33156299999999,POINT (-122.331563 47.616258),F190020454
12003 15th Av Ne,Aid Response,02/27/2019 12:56:06 AM,47.715802000000004,-122.312556,POINT (-122.312556 47.715802),F190020455
12546 5th Av Ne,Fire in Single Family Res,02/27/2019 12:57:55 AM,47.719899,-122.32358799999999,POINT (-122.323588 47.719899),F190020457
3421 8th Av W,Medic Response,02/27/2019 01:05:36 AM,47.651149,-122.36846899999999,POINT (-122.368469 47.651149),F190020458
2702 Beacon Av S,Aid Response,02/27/2019 01:21:52 AM,47.579351,-122.312266,POINT (-122.312266 47.579351),F190020459
612 Nw 44th St,Aid Response,02/27/2019 01:23:43 AM,47.660793,-122.36412,POINT (-122.36412 47.660793),F190020460
903 Union St,Medic Response,02/27/2019 01:32:20 AM,47.611557,-122.33019099999999,POINT (-122.330191 47.611557),F190020463
726 S Elmgrove St,Aid Response,02/27/2019 01:38:14 AM,47.530536,-122.32449299999999,POINT (-122.324493 47.530536),F190020464
1519 12th Av,Medic Response,02/27/2019 02:01:34 AM,47.614317,-122.31683899999999,POINT (-122.316839 47.614317),F190020465
808 Howell St,Aid Response,02/27/2019 02:20:07 AM,47.614127,-122.33400900000001,POINT (-122.334009 47.614127),F190020466
3915 S Eddy St,Aid Response,02/27/2019 02:24:22 AM,47.545303000000004,-122.283207,POINT (-122.283207 47.545303),F190020467
21 W Comstock St,Investigate Out Of Service,02/27/2019 02:19:02 AM,47.63044,-122.356874,POINT (-122.356874 47.63044),F190020468
5th Av / Terrace St,Aid Response,02/27/2019 02:32:52 AM,47.602272,-122.32788300000001,POINT (-122.327883 47.602272),F190020469
2200 Sw Barton St,Aid Response,02/27/2019 02:35:02 AM,47.521027000000004,-122.36179399999999,POINT (-122.361794 47.521027),F190020470
Summit Av / Spring St,Aid Response,02/27/2019 02:35:27 AM,47.610981,-122.323571,POINT (-122.323571 47.610981),F190020471
4719 12th Av Ne,Aid Response,02/27/2019 02:41:06 AM,47.663215,-122.315262,POINT (-122.315262 47.663215),F190020473
400 S Washington St,Trans to AMR,02/27/2019 02:40:24 AM,47.600875,-122.32896299999999,POINT (-122.328963 47.600875),F190020474
2411 Alaskan Way,Aid Response,02/27/2019 02:45:29 AM,47.612258000000004,-122.35014,POINT (-122.35014 47.612258),F190020475
204 3RD AV S,Trans to AMR,02/27/2019 03:17:01 AM,47.600843,-122.330271,POINT (-122.330271 47.600843),F190020477
5th Av S / S Holgate St,Aid Response,02/27/2019 03:17:58 AM,47.586175,-122.327541,POINT (-122.327541 47.586175),F190020478
1000 4th Av,Rescue Elevator,02/27/2019 03:38:40 AM,47.606088,-122.33290900000001,POINT (-122.332909 47.606088),F190020479
669 S King St,Aid Response,02/27/2019 03:46:58 AM,47.598351,-122.324308,POINT (-122.324308 47.598351),F190020480
1100 Broadway,Aid Response,02/27/2019 03:56:39 AM,47.611259000000004,-122.32076,POINT (-122.32076 47.611259),F190020482
910 MARION ST,"Medic Response, 7 per Rule",02/27/2019 03:58:15 AM,47.607742,-122.326595,POINT (-122.326595 47.607742),F190020483
606 Lee St,Aid Response,02/27/2019 03:58:37 AM,47.631409000000005,-122.34491100000001,POINT (-122.344911 47.631409),F190020484
6030 51st Pl S,Automatic Fire Alarm Resd,02/27/2019 04:16:34 AM,47.548974,-122.26795700000001,POINT (-122.267957 47.548974),F190020486
509 3rd Av,Trans to AMR,02/27/2019 04:23:54 AM,47.602114,-122.330809,POINT (-122.330809 47.602114),F190020487
1726 Summit Av,Aid Response,02/27/2019 04:27:21 AM,47.616699,-122.325548,POINT (-122.325548 47.616699),F190020488
6339 34th Av Sw,Trans to AMR,02/27/2019 04:36:23 AM,47.546215000000004,-122.375056,POINT (-122.375056 47.546215),F190020490
1001 N 48th St,Aid Response,02/27/2019 04:40:29 AM,47.663581,-122.34606000000001,POINT (-122.34606 47.663581),F190020491
3rd Av S / S River St,Car Fire,02/27/2019 04:43:56 AM,47.543721000000005,-122.330786,POINT (-122.330786 47.543721),F190020492
12736 Lake City Way Ne,Aid Response,02/27/2019 04:46:56 AM,47.721301000000004,-122.29403700000002,POINT (-122.294037 47.721301),F190020494
1541 Nw Market St,Aid Response,02/27/2019 04:55:34 AM,47.668671,-122.37755600000001,POINT (-122.377556 47.668671),F190020495
Aurora Av N / N 130th St,MVI - Motor Vehicle Incident,02/27/2019 04:59:29 AM,47.723212,-122.344977,POINT (-122.344977 47.723212),F190020496
2222 Ne 115th St,Medic Response,02/27/2019 05:19:26 AM,47.712101000000004,-122.305451,POINT (-122.305451 47.712101),F190020497
2445 Nw 57th St,Aid Response,02/27/2019 05:35:49 AM,47.670187,-122.388155,POINT (-122.388155 47.670187),F190020498
517 3rd Av,Aid Response,02/27/2019 05:38:45 AM,47.602171999999996,-122.330863,POINT (-122.330863 47.602172),F190020499
1518 Broadway,Fire in Building,02/27/2019 05:43:31 AM,47.614277,-122.320783,POINT (-122.320783 47.614277),F190020500
3236 24th Av W,Investigate Out Of Service,02/27/2019 05:47:07 AM,47.648815,-122.387427,POINT (-122.387427 47.648815),F190020501
4502 42nd Av Sw,Aid Response,02/27/2019 05:54:08 AM,47.562857,-122.38545500000001,POINT (-122.385455 47.562857),F190020502
517 3rd Av,Aid Response,02/27/2019 06:05:59 AM,47.602171999999996,-122.330863,POINT (-122.330863 47.602172),F190020503
10429 61st Av S,Aid Response,02/27/2019 06:10:38 AM,47.507599,-122.257356,POINT (-122.257356 47.507599),F190020504
2320 Eyres Pl W,Aid Response,02/27/2019 06:21:38 AM,47.639134999999996,-122.40524099999999,POINT (-122.405241 47.639135),F190020506
600 4th Av,Trans to AMR,02/27/2019 06:25:33 AM,47.603233,-122.330297,POINT (-122.330297 47.603233),F190020507
2159 Ne Pacific St,Medic Response,02/27/2019 06:31:02 AM,47.650095,-122.306743,POINT (-122.306743 47.650095),F190020508
4147 University Way Ne,Trans to AMR,02/27/2019 06:33:39 AM,47.657529,-122.31322800000001,POINT (-122.313228 47.657529),F190020509
2953 S Graham St,"Medic Response, 7 per Rule",02/27/2019 06:55:25 AM,47.546223,-122.29470500000001,POINT (-122.294705 47.546223),F190020511
621 12th Av E,Aid Response,02/27/2019 07:16:59 AM,47.624484,-122.31673300000001,POINT (-122.316733 47.624484),F190020513
601 Union St,Scenes Of Violence 7,02/27/2019 07:15:56 AM,47.610155,-122.333545,POINT (-122.333545 47.610155),F190020514
2214 Sw Willow St,Aid Response,02/27/2019 07:23:34 AM,47.541876,-122.361325,POINT (-122.361325 47.541876),F190020515
8319 8th Av S,Auto Fire Alarm,02/27/2019 07:29:17 AM,47.52885,-122.32287600000001,POINT (-122.322876 47.52885),F190020516
4700 12th Av Ne,Aid Response,02/27/2019 07:31:46 AM,47.663106,-122.31526299999999,POINT (-122.315263 47.663106),F190020517
East Marginal Way S / 1st Av S,Aid Response,02/27/2019 07:37:35 AM,47.548271,-122.334309,POINT (-122.334309 47.548271),F190020518
12763 39th Av Ne,Aid Response,02/27/2019 07:39:55 AM,47.721357,-122.286336,POINT (-122.286336 47.721357),F190020519
400 S Washington St,Aid Response,02/27/2019 07:45:12 AM,47.600875,-122.32896299999999,POINT (-122.328963 47.600875),F190020520
405 M L King Jr Way S,Medic Response,02/27/2019 07:48:13 AM,47.599173,-122.297417,POINT (-122.297417 47.599173),F190020521
5433 Leary Av Nw,Aid Response,02/27/2019 07:58:30 AM,47.66749,-122.38309299999999,POINT (-122.383093 47.66749),F190020522
619 3rd Av,Medic Response,02/27/2019 08:04:56 AM,47.6029,-122.331529,POINT (-122.331529 47.6029),F190020523
9359 53rd Av S,Aid Response,02/27/2019 08:07:14 AM,47.519185,-122.266171,POINT (-122.266171 47.519185),F190020524
3rd Av / Pine St,Illegal Burn,02/27/2019 08:10:24 AM,47.610743,-122.338702,POINT (-122.338702 47.610743),F190020525
14002 Linden Av N,Aid Response,02/27/2019 08:17:31 AM,47.730569,-122.34775800000001,POINT (-122.347758 47.730569),F190020527
3rd Av S / S Massachusetts St,1RED 1 Unit,02/27/2019 08:25:43 AM,47.588208,-122.32999199999999,POINT (-122.329992 47.588208),F190020528
3rd Av / Union St,Aid Response,02/27/2019 08:36:44 AM,47.608756,-122.33688500000001,POINT (-122.336885 47.608756),F190020532
8802 Midvale Av N,Aid Response,02/27/2019 08:38:01 AM,47.692374,-122.34239199999999,POINT (-122.342392 47.692374),F190020533
S Stacy St / Utah Av S,Medic Response,02/27/2019 08:44:10 AM,47.581895,-122.335125,POINT (-122.335125 47.581895),F190020535
9201 Rainier Av S,Aid Response,02/27/2019 08:52:22 AM,47.52101,-122.269997,POINT (-122.269997 47.52101),F190020536
1420 Western Av,Aid Response,02/27/2019 09:02:02 AM,47.607557,-122.340392,POINT (-122.340392 47.607557),F190020537
5433 Leary Av Nw,Aid Response Yellow,02/27/2019 09:05:28 AM,47.66749,-122.38309299999999,POINT (-122.383093 47.66749),F190020538
14026 19th Av Ne,Aid Response,02/27/2019 09:10:58 AM,47.730413,-122.30866,POINT (-122.30866 47.730413),F190020539
4545 42nd Av Sw,Aid Response,02/27/2019 09:14:01 AM,47.562472,-122.38545500000001,POINT (-122.385455 47.562472),F190020540
35th Av Ne / Ne 135th St,MVI - Motor Vehicle Incident,02/27/2019 09:18:23 AM,47.726464,-122.290907,POINT (-122.290907 47.726464),F190020541
9543 Greenwood Av N,Aid Response,02/27/2019 09:38:55 AM,47.698223,-122.35538100000001,POINT (-122.355381 47.698223),F190020545
700 Minor Av,Medic Response,02/27/2019 09:44:25 AM,47.607661,-122.322073,POINT (-122.322073 47.607661),F190020547
1500 3rd Av,Aid Response,02/27/2019 09:56:50 AM,47.60975,-122.33779299999999,POINT (-122.337793 47.60975),F190020549
5631 California Av Sw,Aid Response,02/27/2019 10:01:20 AM,47.551922,-122.38704399999999,POINT (-122.387044 47.551922),F190020550
1215 N 45th St,Alarm Bell,02/27/2019 10:00:40 AM,47.661384999999996,-122.343048,POINT (-122.343048 47.661385),F190020551
2nd Av Et S / S Main St,Medic Response,02/27/2019 10:01:33 AM,47.599990999999996,-122.33034199999999,POINT (-122.330342 47.599991),F190020552
13201 Aurora Av N,Auto Fire Alarm,02/27/2019 10:14:12 AM,47.724677,-122.34499299999999,POINT (-122.344993 47.724677),F190020555
10330 Meridian Av N,Aid Response,02/27/2019 10:28:03 AM,47.703486,-122.33390700000001,POINT (-122.333907 47.703486),F190020556
1161 21st Av E,Automatic Fire Alarm Resd,02/27/2019 10:30:29 AM,47.629849,-122.30473899999998,POINT (-122.304739 47.629849),F190020557
2456 3rd Av W,Automatic Fire Alarm Resd,02/27/2019 10:34:25 AM,47.640617,-122.360924,POINT (-122.360924 47.640617),F190020558
3801 Beacon Av S,Aid Response,02/27/2019 10:34:37 AM,47.569313,-122.30733000000001,POINT (-122.30733 47.569313),F190020559
24th Av Nw / Nw 58th St,Aid Response,02/27/2019 10:35:41 AM,47.670916,-122.38758700000001,POINT (-122.387587 47.670916),F190020560
410 2nd Av Et S,Trans to AMR,02/27/2019 10:44:39 AM,47.601202,-122.331511,POINT (-122.331511 47.601202),F190020564
12255 Aurora Av N,Aid Response,02/27/2019 10:46:38 AM,47.718107,-122.34491200000001,POINT (-122.344912 47.718107),F190020565
2950 Sw Avalon Way,Medic Response,02/27/2019 10:56:01 AM,47.569519,-122.37071499999999,POINT (-122.370715 47.569519),F190020566
810 Virginia St,Aid Response,02/27/2019 10:58:45 AM,47.615789,-122.33650700000001,POINT (-122.336507 47.615789),F190020567
6251 Airport Way S,Illegal Burn,02/27/2019 11:08:19 AM,47.547662,-122.314251,POINT (-122.314251 47.547662),F190020568
1935 E Calhoun St,Aid Response,02/27/2019 11:08:53 AM,47.641007,-122.306634,POINT (-122.306634 47.641007),F190020569
N 97TH ST / LINDEN AV N,"Medic Response, 7 per Rule",02/27/2019 11:13:39 AM,47.699627,-122.347324,POINT (-122.347324 47.699627),F190020570
9600 College Way N,Medic Response,02/27/2019 11:14:18 AM,47.698678,-122.33505,POINT (-122.33505 47.698678),F190020571
6th Av / James St,Aid Response,02/27/2019 11:26:44 AM,47.604161,-122.328079,POINT (-122.328079 47.604161),F190020574
5602 California Av Sw,Trans to AMR,02/27/2019 11:27:13 AM,47.552098,-122.38703799999999,POINT (-122.387038 47.552098),F190020576
Eastlake Av E / Stewart St,Medic Response,02/27/2019 11:27:42 AM,47.619715,-122.32913500000001,POINT (-122.329135 47.619715),F190020577
11036 8th Av Ne,Aid Response,02/27/2019 11:37:51 AM,47.708833,-122.320567,POINT (-122.320567 47.708833),F190020580
13300 Stone Av N,Aid Response,02/27/2019 11:41:48 AM,47.725515,-122.3423,POINT (-122.3423 47.725515),F190020581
1700 Airport Way S,Aid Response,02/27/2019 11:44:17 AM,47.588225,-122.32139099999999,POINT (-122.321391 47.588225),F190020582
4120 11th Av Ne,Aid Response,02/27/2019 11:45:49 AM,47.657647999999995,-122.316671,POINT (-122.316671 47.657648),F190020585
609 Yesler Way,Trans to AMR,02/27/2019 11:46:13 AM,47.601709,-122.32618899999999,POINT (-122.326189 47.601709),F190020586
800 Occidental Av S,EVENT - Special Event,02/27/2019 11:47:52 AM,47.595693,-122.33327299999999,POINT (-122.333273 47.595693),F190020587
16th Av S / S Jackson St,Aid Response,02/27/2019 11:50:30 AM,47.599225,-122.311577,POINT (-122.311577 47.599225),F190020588
5011 Brooklyn Av Ne,Aid Response,02/27/2019 11:52:25 AM,47.664986,-122.314209,POINT (-122.314209 47.664986),F190020589
2709 3rd Av,Aid Response,02/27/2019 11:58:50 AM,47.617176,-122.348974,POINT (-122.348974 47.617176),F190020590
1500 3rd Av,Aid Response,02/27/2019 12:03:59 PM,47.60975,-122.33779299999999,POINT (-122.337793 47.60975),F190020592
5444 Delridge Way Sw,Aid Response,02/27/2019 12:14:03 PM,47.553321000000004,-122.36296899999999,POINT (-122.362969 47.553321),F190020593
